conta;valor;descricao
90;893,95;Kodoqurorutushi
95;321,32;Kaqalypahae
52;792,64;Kugizha
8;452,92;Pykojujaeso
32;834,70;Waeqacybu
53;724,17;Dygewuxibozhe
18;573,86;Ricaenaveshine
31;250,12;Radytylaly
39;242,53;ZHebomacyre
92;405,11;Josurugae
59;370,30;ZHofudele
77;283,41;Paegaegipalu
85;874,44;ZHyzhaejyjavoxuty
21;442,19;Titysyve
99;207,79;Caedycesyxirobe
66;188,05;Bypyroruzhy
99;160,31;Qaedika
12;711,03;Tyhivuwiciboxo
34;832,11;Bofaqaedo
32;625,64;Fajylogirigu
36;961,01;Faecirucaekyne
60;547,34;Lovelybupudajae
71;507,64;Dozhocu
85;638,14;Juciko
34;95,11;Guwavyqypafy
70;313,16;Lohapoxyzhu
11;792,28;Tykyvehaeheveli
86;691,72;Nipahaerazhezhyge
57;447,97;Gutali
42;445,34;Wolusi
22;431,80;Soqikajaredaeki
30;47,58;Waejaejy
95;205,36;Lozhadyluzhilae
16;160,12;Relyxudesulaesy
40;965,58;Vuzhygurisopy
32;189,03;Riraguhi
41;635,27;Panaebi
77;5,48;Lishufi
49;208,08;Wezhaevy
14;847,03;Gaezhadumi
99;939,53;Qosolushi
81;370,67;Kibynowishiqyke
18;225,88;Migovae
88;896,10;Toduhypyxaewo
24;228,60;Taemyjicufaderae
79;995,01;Kicutyva
7;758,75;Vibasha
83;592,54;Qaexoje
44;267,85;Rolynivae
93;18,44;Qegypaecozho
63;463,05;Jaelela
73;40,76;Lopeby
2;964,58;Taenonu
66;699,16;Xuragikae
1;62,51;Gakaequtucuqe
17;397,80;Bywosaetaly
67;836,04;Weqaeshoka
76;972,52;Hopuki
98;887,25;Jizhabesyvedu
38;844,31;Saraeleqykaqy
15;726,27;SHunyvetaekohala
82;571,31;Fikiqapugiruqae
61;24,42;Qanoshugy
96;318,38;Qyvavaedorae
70;703,14;Sukiwinaeky
42;497,47;Kymoryvonu
50;914,19;Wogumaelareterae
21;3,59;Hedoxaehaejaxebi
6;917,48;Rolyhuqu
56;898,63;Mosarera
39;540,93;Quvuvijae
8;721,08;Tazhyfaelaqe
79;177,80;Jaeloty
82;98,98;Qolipaesha
8;366,42;Lisaepeshi
15;739,13;Pishyle
50;950,35;Xaeshype
68;982,28;Lacemyga
71;803,49;Kasudififytaele
58;356,83;Qaekalufoshely
39;352,74;Gocatyzhozhaejyma
45;504,24;Mybisomehynu
87;174,51;Vaekovaehe
10;173,02;Ruxilo
30;746,27;Peheqyjaehari
37;479,11;Waqufynuqofi
68;249,09;Sufiloli
1;119,36;Barishepe
6;77,34;Naqytusha
80;9,57;Qatimu
3;290,46;Fubabaebejaecu
17;175,80;Taenamyzhe
91;353,03;ZHaekopeso
85;83,13;Xazhaedibuqofi
75;201,93;Gaepuhalaesonaewe
73;471,52;Taesavyrulutae
85;846,21;Pakoki
12;927,21;Taelaetalapa
26;924,08;Nexyhaezhushite
14;516,91;Cucukyty
6;188,38;Mymubifami
55;845,13;SHoshyxae
57;426,10;Xesaepe
93;454,63;Hequzho
12;260,69;Necely
81;375,83;Vonumubalatihy
14;257,44;Hiwunobodaequ
92;285,63;Narywy
3;128,34;Girehawyvily
30;979,56;Nyredafu
81;778,00;Setoho
77;750,70;Jiwinyzhyjafafu
49;67,27;Daetutitalaezhivy
97;556,08;Faelinaeni
9;992,07;Qaqyvaenase
38;253,01;Waevehe
86;481,19;Maehaxa
19;626,13;Tyshelitae
2;123,52;Rebeborira
20;722,85;Pukovae
23;282,26;Cykuho
94;628,09;Japiwumaenybigu
23;981,57;Lesefecaexihero
34;164,71;Saelaletuby
57;433,89;Taemakebapixoji
32;863,11;Hugaegofushoguro
68;495,71;Fylashuhatoli
34;341,93;Hajyqinaera
48;686,49;Punaegimu
90;680,64;Rofehaedaemymo
10;50,09;SHaeshybaedezhiho
31;457,61;Timelae
45;918,97;Xinosalabequ
66;322,14;Lixaefaqurizho
21;337,83;Gokasoshe
31;865,24;Quvoxuhyshasyle
77;248,30;Daeguvahupacaesa
64;833,49;Wyfyroqumi
16;430,51;Heqaesaetamymo
46;517,18;Wagefawolaeha
8;627,02;Nikolirulipufo
59;764,14;Wazhalaewolaehe
52;381,43;Calopamorozhu
6;242,78;Pikukomaka
23;181,11;Rushoraegaliwo
9;791,88;Hodizhy
70;118,87;Raepygaxaekabo
52;132,93;Palawa
56;338,55;Tamozhae
67;948,76;Vaedybu
75;362,37;Novolile
29;160,72;Sojetapusudaefae
89;524,34;Gaeravysha
3;141,68;Rashaxagywa
71;733,86;Xaedolumu
68;999,64;Pujijyluxuqi
48;388,53;Raeqashypyxae
16;632,68;Dowyfuni
84;797,33;Xemaelaepae
5;862,40;Taezhagy
44;967,24;Haewylaedipulule
8;352,92;Casavihihyshu
42;637,32;Derokaeda
65;33,78;Dicapidaly
71;854,22;Kavohabujyla
34;734,20;Ceshywalalody
72;848,60;Doluxymycuveha
82;493,19;Fixazhaqihaemavi
7;350,85;Xeqyli
53;786,21;Kaejirysojolikae
22;360,82;Qomomanagy
40;102,56;Lacohaxobekae
51;726,94;Neshuly
52;347,23;Laefewaepaevoru
63;72,08;Dogekela
11;607,15;Nucehuzhu
53;747,56;Seluwu
47;122,60;Bopusu
23;435,18;Lalabalyto
15;91,03;Hykedo
8;221,64;Pydecaruhi
86;609,33;Xisugezhaexo
82;791,79;Gemuqewy
18;685,88;Tamyzhazhekixae
20;436,48;Taefaelabu
62;117,10;Bokily
82;917,92;SHizhipecy
62;469,77;Xesypynaenu
30;423,16;ZHaelashushi
51;241,04;Fybowukojo
16;764,95;Toqiro
7;0,08;SHylezhicurukudae
69;754,80;Bifaejushy
35;964,34;Hohobaely
89;811,06;Figycutytega
38;477,03;Fytysha
10;35,06;Wubanucu
90;55,84;Gaedocerae
86;462,57;Laecekymucamy
43;836,41;Qaegezhae
71;518,93;Saexaeshuxorevano
46;35,74;ZHegihacyshae
34;7,74;Lydado
70;652,02;SHerykapa
12;201,87;Qupetyseqe
4;239,52;Caewaetejowisale
75;135,74;Vilowilavu
3;758,19;Wycicuwohy
35;710,73;Qaqaeremefae
42;563,30;Fazhokobalafemo
38;967,90;Tupeshenigaty
77;423,29;Cashikijiwu
34;896,74;Solujezhi
70;282,55;Laefiha
57;358,47;Hucypaenihulo
3;742,02;Tesilulu
61;693,85;Dabaelosoqaemae
55;86,35;Bopywyli
18;739,74;Nokocyte
5;16,25;Naelyvi
50;497,47;Lyshagunutilevu
59;716,16;Biledenaepukushae
63;639,95;Caefaegopocero
16;256,00;ZHaropylipae
8;377,83;Kaxuqaeto
49;626,91;Waeqipacinolaehy
12;914,81;Lygoro
34;442,81;Huloqi
2;3,07;Bushytuxelaesae
86;579,93;Jufitukaeshe
97;47,96;SHucivycytylika
79;797,95;Dozhicehaekaexishy
50;912,84;Kohace
9;194,45;Josyvurae
94;191,21;Menediqushe
62;946,88;Paeralucaeposa
30;9,79;SHekizhae
21;781,72;Lotabyrewoboje
7;582,72;Taetaesaenaetulu
57;766,96;Lolageshyny
26;269,21;Noshowazhoma
13;182,67;Kucuhuroce
89;604,68;Hemaejaeqowifa
40;969,55;Bahosyqacashytu
74;211,34;Sysholukopaegy
98;715,02;Hojylafaenidugo
14;26,92;Ficijuvynyda
49;335,98;Fanite
26;488,63;Kakyqoshae
57;301,14;Sepisaeduqaevo
61;180,68;Xuhugapyhae
48;979,05;Vaemimomozhoxo
